Time,Flux,+-
51610.555544,6.409E-12,9.106E-13
51619.954248,7.387E-12,6.149E-13
51630.512211,9.243E-12,5.106E-13
51640.280637,1.063E-11,5.758E-13
51650.823044,9.896E-12,9.64E-13
51660.392118,1.502E-11,6.825E-13
51670.683044,6.818E-12,5.638E-13
51680.893877,1.433E-11,1.199E-12
51690.33647,1.828E-11,7.705E-13
51710.567025,1.18E-11,9.111E-13
51720.463044,1.595E-11,9.521E-13
51730.3461,3.021E-11,1.803E-12
51740.191192,3.609E-11,8.088E-13
51746.825174,3.601E-11,9.703E-13
51749.069433,3.036E-11,8.429E-13
51750.796933,2.656E-11,1.191E-12
51752.87397,3.604E-11,1.019E-12
51754.413507,2.685E-11,1.819E-12
51756.405729,3.059E-11,1.639E-12
51758.345266,2.546E-11,9.157E-13
51760.67147,2.136E-11,9.47E-13
51762.392396,2.289E-11,9.533E-13
51764.444896,1.872E-11,1.228E-12
51766.186655,1.442E-11,1.366E-12
51768.439433,1.595E-11,9.196E-13
51770.081933,1.472E-11,7.264E-13
51780.30934,1.3E-11,2.31E-12
51800.754062,2.831E-11,9.043E-13
51810.142396,3.523E-11,9.504E-13
51820.643414,3.254E-11,9.609E-13
51830.1861,2.407E-11,1.427E-12
51839.479525,2.773E-11,1.04E-12
51849.892025,2.295E-11,8.369E-13
51859.48897,8.166E-12,3.183E-12
51869.607118,1.742E-11,9.007E-13
51879.761007,1.453E-11,8.783E-13
51889.653137,1.398E-11,7.479E-13
51900.331563,1.597E-11,8.747E-13
53433.43934,3.69E-11,1.236E-12
53435.349618,2.961E-11,1.056E-12
53437.438322,2.695E-11,8.555E-13
53439.993137,2.781E-11,9.266E-13
53441.424155,2.109E-11,9.807E-13
53443.074063,2.727E-11,8.338E-13
53445.369803,2.409E-11,9.028E-13
53447.281007,1.783E-11,8.838E-13
53453.682118,2.234E-11,1.662E-12
53456.020544,2.685E-11,1.26E-12
53457.172303,2.914E-11,8.036E-13
53458.90897,2.819E-11,1.242E-12
53461.451562,3.008E-11,1.167E-12
53463.604155,3.07E-11,1.209E-12
53465.528229,2.751E-11,1.134E-12
53467.494155,2.99E-11,1.026E-12
53469.363785,2.657E-11,7.113E-13
53471.489711,2.863E-11,1.075E-12
53473.428785,2.793E-11,1.257E-12
53475.355637,2.66E-11,1.178E-12
53477.507303,2.434E-11,8.882E-13
53479.418692,2.277E-11,8.02E-13
53481.493044,2.521E-11,1.433E-12
53483.349248,2.574E-11,8.982E-13
53485.176192,3.091E-11,9.069E-13
53487.140451,2.698E-11,9.227E-13
53489.489433,3.021E-11,1.736E-12
53491.27934,3.392E-11,8.68E-13
53493.282674,2.685E-11,9.916E-13
53495.259063,2.627E-11,8.133E-13
53497.212859,2.489E-11,8.979E-13
53499.136563,2.163E-11,9.036E-13
53501.738785,2.76E-11,8.295E-13
53503.571377,3.04E-11,1.431E-12
53505.805822,2.504E-11,1.209E-12
53507.808692,2.805E-11,1.084E-12
53509.088785,3.051E-11,1.068E-12
53511.460174,2.622E-11,1.587E-12
53513.426192,2.864E-11,1.008E-12
53517.423692,2.929E-11,1.443E-12
53519.319155,3.048E-11,1.161E-12
53521.626285,3.057E-11,2.305E-12
53523.395544,2.714E-11,1.008E-12
53525.496285,3.022E-11,8.965E-13
53527.073322,2.786E-11,1.057E-12
53529.492951,3.071E-11,1.012E-12
53531.254062,4.01E-11,1.084E-12
53533.276377,3.486E-11,1.407E-12
53535.251748,3.855E-11,9.535E-13
53537.150081,3.571E-11,9.477E-13
53540.042303,3.736E-11,1.013E-12
53541.202674,4.003E-11,1.205E-12
53543.24147,3.366E-11,9.313E-13
53545.198507,3.995E-11,1.65E-12
53547.899711,3.592E-11,9.644E-13
53549.070637,3.668E-11,9.222E-13
53551.055637,3.89E-11,1.051E-12
53553.694062,3.387E-11,1.12E-12
53555.896007,3.619E-11,8.967E-13
53557.655081,4.809E-11,1.615E-12
53561.790822,4.389E-11,1.02E-12
53563.788137,4.628E-11,3.895E-12
53565.416007,4.635E-11,1.06E-12
53569.132674,4.261E-11,1.441E-12
53571.128785,4.194E-11,1.359E-12
53573.130637,4.152E-11,1.128E-12
53575.972118,4.686E-11,1.448E-12
53577.139433,4.328E-11,1.021E-12
53579.052859,4.52E-11,1.207E-12
53581.270914,5.617E-11,3.724E-12
53583.9611,4.523E-11,1.022E-12
53585.201748,3.331E-11,9.445E-13
53587.687303,3.772E-11,9.302E-13
53589.720544,3.755E-11,1.348E-12
53591.886285,4.053E-11,9.435E-13
53593.98897,3.257E-11,8.237E-13
53595.953692,3.459E-11,9.043E-13
53597.917766,2.579E-11,9.031E-13
53599.882025,3.049E-11,9.476E-13
53601.367025,3.728E-11,1.021E-12
53603.503229,3.388E-11,1.259E-12
53605.702025,4.522E-11,7.871E-13
53607.397118,4.698E-11,3.659E-12
53609.633322,4.556E-11,1.171E-12
53611.290174,4.251E-11,1.112E-12
53613.599988,4.034E-11,1.127E-12
53615.042396,3.89E-11,1.419E-12
53617.32434,4.023E-11,1.072E-12
53619.160914,4.272E-11,8.79E-13
53621.004062,3.444E-11,1.583E-12
53623.03397,3.089E-11,1.227E-12
53625.894896,3.523E-11,1.487E-12
53627.075451,3.742E-11,8.332E-13
53629.046655,3.403E-11,1.082E-12
53631.872211,3.769E-11,1.202E-12
53633.965359,3.683E-11,8.738E-13
53635.798692,3.779E-11,8.415E-13
53637.885822,4.37E-11,1.127E-12
53639.84897,3.968E-11,9.722E-13
53641.941655,3.649E-11,1.041E-12
53643.862303,3.325E-11,1.134E-12
53645.895451,3.554E-11,1.018E-12
53647.783137,3.523E-11,1.246E-12
53649.613137,3.236E-11,7.545E-13
53651.835729,3.794E-11,7.292E-13
53655.70184,4.201E-11,1.077E-12
53657.749155,3.457E-11,9.285E-13
53659.607766,3.58E-11,1.821E-12
53661.536377,4.663E-11,1.098E-12
53663.339155,4.508E-11,9.297E-13
53665.087396,3.869E-11,1.178E-12
53667.051192,3.227E-11,1.222E-12
53669.928692,3.965E-11,1.077E-12
53671.115359,3.858E-11,1.481E-12
53673.856192,3.009E-11,8.377E-13
53675.783137,2.97E-11,8.992E-13
53677.727581,2.359E-11,1.024E-12
53679.752581,3.42E-11,7.607E-13
53681.012859,3.13E-11,9.918E-13
53683.483507,3.237E-11,8.27E-13
53685.664896,2.847E-11,9.512E-13
53687.819433,2.561E-11,8.659E-13
53689.781655,2.9E-11,8.665E-13
53691.623044,2.605E-11,7.384E-13
53693.766933,2.335E-11,9.488E-13
53695.482859,2.063E-11,9.159E-13
53696.602951,2.422E-11,1.073E-12
53696.731562,2.665E-11,9.305E-13
53696.98684,2.509E-11,8.336E-13
53697.311748,2.715E-11,1.102E-12
53697.514248,2.453E-11,7.831E-13
53697.835822,2.335E-11,9.228E-13
53697.988414,2.156E-11,8.683E-13
53698.176933,2.316E-11,7.691E-13
53698.427396,1.945E-11,7.543E-13
53698.754248,2.069E-11,7.787E-13
53698.962303,2.055E-11,8.547E-13
53699.142766,2.066E-11,1.038E-12
53699.618044,1.944E-11,9.21E-13
53699.757674,1.959E-11,9.068E-13
53700.008044,2.286E-11,8.071E-13
53700.323692,2.561E-11,9.743E-13
53700.587211,2.972E-11,9.041E-13
53700.783044,2.938E-11,1.051E-12
53700.979155,2.962E-11,9.237E-13
53701.170729,2.732E-11,9.712E-13
53701.442674,3.012E-11,9.6E-13
53701.692211,2.902E-11,1.169E-12
53702.029525,3.049E-11,9.039E-13
53702.493322,3.536E-11,1.014E-12
53702.736192,3.363E-11,1.628E-12
53703.009433,3.414E-11,9.525E-13
53703.325914,3.33E-11,1.028E-12
53703.981748,3.264E-11,9.121E-13
53704.220451,3.41E-11,1.327E-12
53704.722303,3.768E-11,8.953E-13
53705.010637,3.95E-11,3.369E-12
53705.357859,3.614E-11,1.307E-12
53705.817211,4.474E-11,1.031E-12
53706.127581,3.655E-11,1.007E-12
53706.351377,4.252E-11,9.896E-13
53706.909525,4.111E-11,1.064E-12
53707.402951,4.536E-11,1.064E-12
53707.6536,4.209E-11,1.716E-12
53707.960266,4.363E-11,1.006E-12
53708.453692,4.289E-11,1.016E-12
53708.665822,4.151E-11,1.005E-12
53708.778877,3.965E-11,8.77E-13
53709.075729,3.967E-11,1.002E-12
53709.863322,4.369E-11,1.355E-12
53710.125359,4.137E-11,1.47E-12
53710.417303,4.283E-11,1.018E-12
53710.552118,3.992E-11,8.674E-13
53710.744803,4.02E-11,1.051E-12
53711.040174,4.172E-11,1.148E-12
53711.297951,3.857E-11,2.026E-12
53711.532303,3.708E-11,9.622E-13
53711.762581,3.958E-11,1.55E-12
53712.022303,3.617E-11,9.336E-13
53712.314063,3.34E-11,1.146E-12
53712.512118,3.31E-11,1.065E-12
53712.775174,3.398E-11,1.041E-12
53712.99647,4.028E-11,1.263E-12
53713.003229,3.959E-11,2.156E-12
53713.364062,4.18E-11,1.445E-12
53713.497581,3.975E-11,1.002E-12
53713.760451,3.976E-11,1.057E-12
53713.923044,3.484E-11,1.206E-12
53714.250637,3.967E-11,1.133E-12
53714.481377,3.877E-11,1.136E-12
53714.768507,4.104E-11,9.784E-13
53715.032396,3.568E-11,8.515E-13
53715.292951,3.79E-11,4.172E-12
53715.601562,3.64E-11,1.148E-12
53715.802118,3.613E-11,8.678E-13
53715.944525,3.556E-11,1.032E-12
53716.343229,3.96E-11,2.262E-12
53716.517396,4.055E-11,9.383E-13
53716.784433,3.959E-11,9.548E-13
53716.982674,3.895E-11,1.143E-12
53717.196655,3.767E-11,9.341E-13
53717.524248,3.488E-11,1.111E-12
53717.827211,3.357E-11,1.16E-12
53718.110822,3.645E-11,9.026E-13
53718.245266,4.022E-11,1.152E-12
53718.54934,3.633E-11,1.107E-12
53718.746933,3.406E-11,9.093E-13
53719.02684,3.121E-11,9.244E-13
53719.287951,3.461E-11,2.898E-12
53719.532303,3.592E-11,9.407E-13
53719.684803,3.348E-11,7.845E-13
53719.928785,3.507E-11,1.103E-12
53720.209155,3.706E-11,1.089E-12
53720.383692,3.377E-11,7.897E-13
53720.714248,3.455E-11,7.122E-13
53720.987581,3.193E-11,9.642E-13
53721.191192,3.337E-11,1.144E-12
53721.500729,3.212E-11,8.114E-13
53721.649988,3.359E-11,1.311E-12
53721.969525,3.231E-11,1.094E-12
53722.42684,3.051E-11,1.01E-12
53722.678507,2.863E-11,7.985E-13
53722.9511,3.01E-11,8.833E-13
53723.221377,2.902E-11,9.59E-13
53723.594711,3.173E-11,9.071E-13
53723.796285,2.979E-11,9.973E-13
53724.069248,2.762E-11,8.572E-13
53724.244525,2.553E-11,9.147E-13
53724.447396,2.571E-11,1.075E-12
53724.777859,2.521E-11,1E-12
53725.05147,2.879E-11,8.75E-13
53725.296655,3.17E-11,8.89E-13
53725.558877,3.213E-11,1.064E-12
53725.759803,3.505E-11,9.475E-13
53726.0236,3.158E-11,1.236E-12
53726.279248,3.368E-11,1.099E-12
53726.47684,3.484E-11,1.117E-12
53726.799063,3.05E-11,1.716E-12
53726.946655,3.029E-11,8.157E-13
53727.207396,2.98E-11,1.136E-12
53727.539896,2.652E-11,1.02E-12
53727.793137,3.044E-11,8.595E-13
53727.995544,2.915E-11,9.853E-13
53728.243507,2.982E-11,1.14E-12
53728.506192,3.277E-11,1.532E-12
53728.775451,3.276E-11,9.091E-13
53729.109433,3.03E-11,9.514E-13
53729.292766,2.755E-11,1.03E-12
53729.555822,2.953E-11,1.131E-12
53729.757025,3.04E-11,8.069E-13
53730.090637,3.362E-11,1.122E-12
53730.2786,3.364E-11,9.786E-13
53730.468692,3.256E-11,1.12E-12
53730.736192,3.358E-11,8.175E-13
53730.9411,3.318E-11,7.445E-13
53731.193137,3.314E-11,9.052E-13
53731.451007,3.159E-11,1.306E-12
53731.717211,3.078E-11,8.977E-13
53731.989988,3.379E-11,9.221E-13
53732.499433,3.692E-11,1.706E-12
53732.768229,3.243E-11,8.972E-13
53733.036933,3.18E-11,9.547E-13
53733.219155,3.279E-11,9.754E-13
53733.54897,3.231E-11,1.277E-12
53733.749433,3.53E-11,1.01E-12
53733.9536,3.255E-11,8.955E-13
53734.20397,3.158E-11,8.762E-13
53734.523507,3.364E-11,9.956E-13
53734.663322,3.285E-11,1.055E-12
53734.934896,3.636E-11,9.67E-13
53735.196748,3.461E-11,9.308E-13
53735.526563,3.187E-11,8.995E-13
53735.713414,2.889E-11,9.941E-13
53735.917488,3.06E-11,8.878E-13
53736.185625,3.324E-11,9.184E-13
53736.428218,2.97E-11,1.204E-12
53736.694699,3.233E-11,8.618E-13
53736.897106,3.377E-11,9.001E-13
53737.089699,3.383E-11,7.53E-13
53737.424699,3.32E-11,1.198E-12
53737.612014,3.146E-11,8.456E-13
53737.745347,3.187E-11,1.071E-12
53738.077292,3.158E-11,9.072E-13
53738.337106,3.149E-11,9.691E-13
53738.608403,3.386E-11,9.386E-13
53738.863495,2.878E-11,8.054E-13
53739.053032,3.211E-11,1.057E-12
53739.371366,2.969E-11,9.908E-13
53739.573588,3.072E-11,9.443E-13
53739.846088,2.995E-11,7.266E-13
53740.044884,3.047E-11,8.986E-13
53740.368403,2.941E-11,1.121E-12
53740.642106,3.222E-11,7.92E-13
53740.827662,3.673E-11,9.905E-13
53741.084329,3.596E-11,1.11E-12
53741.281921,3.628E-11,1.013E-12
53741.533958,3.634E-11,1.056E-12
53741.807199,3.936E-11,8.429E-13
53742.010069,3.809E-11,1.03E-12
53742.321458,4.008E-11,1.568E-12
53742.653773,3.938E-11,9.886E-13
53742.785069,3.666E-11,1.161E-12
53742.98081,3.512E-11,9.433E-13
53743.177951,3.613E-11,1.011E-12
53743.568414,3.293E-11,1.156E-12
53743.720359,3.637E-11,1.248E-12
53743.97397,3.401E-11,9.912E-13
53744.159699,3.471E-11,1.044E-12
53744.428681,3.862E-11,1.018E-12
53744.703403,3.431E-11,1.04E-12
53745.011829,3.878E-11,1.086E-12
53745.261736,3.803E-11,1.13E-12
53745.668125,4.146E-11,1.02E-12
53745.797384,3.822E-11,9.489E-13
53745.932755,3.992E-11,1.014E-12
53746.243773,4.024E-11,1.036E-12
53746.582755,3.787E-11,7.822E-13
53746.779977,3.927E-11,1.216E-12
53747.041829,4E-11,1.127E-12
53747.171921,3.64E-11,1.472E-12
53747.644699,4.394E-11,9.602E-13
53747.829329,4.391E-11,1.272E-12
53748.207766,3.811E-11,9.608E-13
53748.354988,4.208E-11,1.032E-12
53748.548414,3.78E-11,9.38E-13
53748.811377,3.797E-11,9.821E-13
53749.019884,3.858E-11,9.511E-13
53749.256458,3.723E-11,9.328E-13
53749.530069,3.844E-11,9.88E-13
53749.79081,3.685E-11,9.915E-13
53750.11581,3.559E-11,1.025E-12
53750.318125,3.369E-11,8.897E-13
53750.577292,3.324E-11,9.538E-13
53750.842569,3.552E-11,9.028E-13
53751.097755,3.56E-11,1.275E-12
53751.369884,3.177E-11,8.555E-13
53751.558866,3.447E-11,8.837E-13
53751.781088,3.142E-11,1.487E-12
53752.08044,3.071E-11,1.157E-12
53752.334606,3.34E-11,1.02E-12
53752.529514,3.101E-11,1.204E-12
53752.69831,3.125E-11,1.049E-12
53753.094977,2.649E-11,1.702E-12
53753.317847,2.688E-11,9.612E-13
53753.542847,2.904E-11,8.893E-13
53753.856273,2.912E-11,9.964E-13
53754.01044,2.883E-11,1.064E-12
53754.654144,2.563E-11,9.649E-13
53755.283218,2.405E-11,8.158E-13
53755.738403,1.951E-11,1.087E-12
53756.246181,2.112E-11,2.878E-12
53756.530162,2.149E-11,8.752E-13
53756.729329,2.222E-11,7.799E-13
53757.024155,2.207E-11,9.547E-13
53757.248507,1.901E-11,9.689E-13
53757.622674,2.483E-11,1.275E-12
53757.707488,2.262E-11,1.091E-12
53757.903507,2.516E-11,1.144E-12
53758.382118,2.498E-11,1.064E-12
53758.738414,2.453E-11,1.708E-12
53758.93434,2.757E-11,1.113E-12
53759.281563,2.786E-11,1.585E-12
53759.723044,3.665E-11,7.687E-12
53760.105544,3.498E-11,1.427E-12
53760.331007,3.146E-11,2.062E-12
53760.544433,4.092E-11,1.085E-12
53763.388692,3.506E-11,1.412E-12
53765.675451,2.759E-11,9.41E-13
53769.727488,4.215E-11,9.764E-13
53771.703044,4.307E-11,1.19E-12
53773.924618,3.997E-11,1.174E-12
53775.753414,3.34E-11,8.902E-13
53777.53147,3.773E-11,1.496E-12
53779.477581,3.684E-11,9.62E-13
53781.389062,3.521E-11,1.032E-12
53783.553877,3.76E-11,9.007E-13
53785.508507,3.46E-11,9.569E-13
53787.466007,3.366E-11,1.092E-12
53789.443785,4.205E-11,1.023E-12
53791.324063,4.418E-11,1.022E-12
53793.218877,3.985E-11,9.678E-13
53795.386748,3.646E-11,9.174E-13
53797.475914,4.34E-11,1.004E-12
53799.398137,3.759E-11,9.454E-13
53801.420359,3.663E-11,9.035E-13
53803.436933,3.232E-11,9.515E-13
53809.134618,3.051E-11,1.121E-12
53811.382488,2.753E-11,8.47E-13
53813.204155,2.329E-11,1.303E-12
53815.915729,2.11E-11,1.554E-12
53817.616933,2.245E-11,7.859E-13
53819.978507,2.124E-11,2.34E-12
53821.941933,2.753E-11,2.983E-12
53823.4936,3.05E-11,1.06E-12
53825.390081,3.55E-11,1.116E-12
53827.557025,3.272E-11,1.423E-12
53829.41184,3.466E-11,1.104E-12
53831.483229,2.979E-11,1.177E-12
53833.527581,3.119E-11,9.989E-13
53835.477488,2.782E-11,1.376E-12
53837.453137,3.18E-11,9.106E-13
53839.214433,2.913E-11,1.184E-12
53841.388692,3.486E-11,1.039E-12
53843.276933,3.136E-11,1.01E-12
53845.252303,3.241E-11,1.129E-12
53847.265359,3.11E-11,8.079E-13
53849.375081,3.527E-11,9.562E-13
53851.210637,3.137E-11,8.424E-13
53853.0861,3.101E-11,9.399E-13
53855.968507,3.744E-11,9.336E-13
53857.999248,4.147E-11,1.102E-12
53859.943507,4.179E-11,2.153E-12
53861.15184,3.688E-11,8.451E-13
53863.056007,4.039E-11,8.725E-13
53865.496285,3.001E-11,1.261E-12
53867.931285,3.827E-11,2.817E-12
53869.349711,4.388E-11,1.187E-12
53871.445822,3.339E-11,1.16E-12
53873.614433,3.276E-11,1.978E-12
53875.23684,3.234E-11,8.376E-13
53877.403137,3.373E-11,1.214E-12
53879.244433,3.597E-11,8.941E-13
53881.328785,3.309E-11,1.251E-12
53883.359155,3.603E-11,1.321E-12
53885.281655,3.436E-11,9.754E-13
53887.175451,3.011E-11,9.446E-13
53889.31647,2.816E-11,1.587E-12
53891.222581,2.617E-11,1.128E-12
53893.385637,3.138E-11,9.454E-13
53895.149988,3.438E-11,9.757E-13
53897.835544,3.552E-11,9.353E-13
53899.664618,3.99E-11,1.093E-12
53901.121562,3.255E-11,8.618E-13
53903.846285,3.13E-11,1.072E-12
53905.049248,3.89E-11,9.074E-13
53907.012396,4.347E-11,9.949E-13
53909.526285,2.549E-11,1.413E-12
53913.744803,4.219E-11,1.516E-12
53914.934155,4.693E-11,1.114E-12
